,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
MCP19111,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19114,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19115,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19116,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19117,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19118,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19119,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19120,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19121,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19123,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19124,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19125,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19126,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19214,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MCP19215,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
MEC1404,'4/2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
MEC1406,'4/2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
MEC1408,'4/2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
MEC1414,'4/2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
MEC1416,'4/2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
MEC1418,'4/2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F200 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F202 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F204 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F206 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F220 using AC162070,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F222 using AC162070,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F320 using AC244045,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10F322 using AC244045,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10LF320 using AC244045,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC10LF322 using AC244045,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1501,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12F1501 using AC244051,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1571,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1572,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1612,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1612 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC12F1822,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1822 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC12F1822 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC12F1840,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F1840 using AC244043,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC12F1840 using AC244063,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC12F508 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F509 using AC162059,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F510 using AC162070,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F519 using AC162096,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F529T39A,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12F529T48A,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12F609 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F615 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F617 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F629 using AC162050,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F635 using AC162057,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F675 using AC162050,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F683 using AC162058,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F752,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12F752 using AC244049,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV609 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV615 using AC162083,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV752,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12HV752 using AC244050,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,N/A,No,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1501,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12LF1501 using AC244052,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,N/A,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1552,No,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
PIC12LF1571,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1572,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC12LF1612,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
