Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Runtime Reads,Stack Snapshot,Runtime BPs,SW BPs,Trace,Analyzer
MCP19110,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19111,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19114,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19115,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19116,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19117,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19118,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19119,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19120,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19121,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19123,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19124,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19125,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19126,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19214,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19215,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
MCP19625,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12C508,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12C508A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC12C509,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
