Device,ADC,Bootswap,CCP,CLC,COG,Comp,CVREF,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EEFlash,FVR,GPIO,HLT,IC,INT,IOC,OC,Osc,Ports,PPS,PWM,PullUp,RTSP,SMT,Timer,UART,VREF,WDT
MCP19110,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19111,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19114,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19115,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19116,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
MCP19117,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
MCP19118,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19119,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19120,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19121,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19122,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19123,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19124,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19125,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19126,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,PWM,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
MCP19214,,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCP19215,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,,,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
MCP19625,ADC,,,,,,,,,,,,,EEFlash,,,,,INT,IOC,,,PORTA;PORTB,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2,,,WDT
MCV08A,ADC,,,,,COMP1,,,,,,,,,,GPIO,,,,,,OSC,,,,PullUp,,,TMR0,,,WDT
MCV14A,ADC,,,,,COMP1;COMP2,,,,,,,,EEFlash,,,,,,,,OSC,PORTB;PORTC,,,PullUp,,,TMR0,,,WDT
MCV18A,,,,,,,,,,,,,,,,,,,,,,OSC,PORTA;PORTB,,,,,,TMR0,,,WDT
MCV28A,,,,,,,,,,,,,,,,,,,,,,OSC,PORTA;PORTB;PORTC,,,,,,TMR0,,,WDT
MGC3140,,,,,,,,CoreTimer,,,,DMA,,,,,,IC1;IC2,INT,,OC1;OC2;OC3;OC4;OC5;OC6,OSC,PORTA;PORTB;PORTC;PORTD,PPS,,,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1,,WDT32
